image_number,number_of_paths
19,182
190,190
191,151
192,143
193,182
194,181
195,191
196,94
197,174
198,172
199,172
2,177
20,149
21,180
22,94
23,182
24,177
25,181
26,168
27,186
28,110
29,183
3,178
30,98
31,178
32,178
33,164
34,176
35,187
36,175
37,179
38,182
39,151
4,134
40,140
41,157
42,175
43,111
44,176
45,103
46,146
47,160
48,190
49,178
5,170
50,99
51,93
52,108
53,189
54,110
55,153
56,186
57,174
58,189
59,179
6,186
60,185
61,183
62,187
63,166
64,135
65,182
66,105
67,186
68,186
69,180
7,141
70,157
71,142
72,177
73,151
74,172
75,187
76,190
77,168
78,70
79,134
8,117
80,164
81,137
82,151
83,147
84,143
85,179
86,161
87,189
88,179
89,160
9,144
90,141
91,154
92,176
93,181
94,60
95,144
96,169
97,172
98,166
99,171
