startx,starty,goalx,goaly,imagenumber
115,95,52,56,100
111,102,83,80,100
52,115,106,13,100
73,44,44,94,100
73,44,69,69,100
60,49,75,112,100
75,58,117,76,100
115,12,23,44,100
41,59,68,117,100
105,84,45,49,100
25,98,51,103,100
53,115,75,48,100
36,64,78,12,101
67,57,67,82,101
77,14,31,68,101
90,95,71,90,101
5,43,15,46,101
9,94,82,49,101
44,67,45,55,107
78,71,73,15,109
81,93,84,84,109
94,78,104,97,109
33,49,76,12,109
8,115,112,68,109
74,20,22,104,113
60,44,55,42,113
48,29,68,8,113
88,13,11,40,113
53,12,28,96,113
115,47,69,23,113
10,26,6,106,113
117,72,95,25,113
105,68,26,114,113
101,111,105,67,113
73,45,92,11,113
93,58,67,42,113
71,113,79,25,113
47,26,72,18,113
38,90,17,1,118
18,4,8,4,118
41,110,7,107,118
28,89,51,60,118
10,77,26,80,118
98,84,82,103,118
22,108,24,91,118
62,19,114,44,121
99,13,97,4,121
47,43,65,36,121
64,41,83,13,121
104,54,39,26,121
100,48,84,14,121
17,44,103,45,121
116,27,64,94,130
52,63,116,114,130
87,5,64,116,130
112,35,39,6,130
85,94,51,51,130
3,58,84,11,130
22,107,65,83,130
22,12,31,97,130
50,49,104,3,130
100,98,70,98,130
89,2,105,109,130
71,7,86,2,130
117,30,38,111,130
112,5,0,4,130
34,103,21,63,130
14,70,15,69,130
24,13,24,13,130
30,85,28,106,130
25,104,75,10,130
31,99,80,87,130
80,85,110,37,130
66,80,107,26,130
75,88,9,62,130
73,29,38,98,130
115,43,95,104,130
12,15,102,102,130
112,111,106,14,130
67,73,37,10,130
9,68,109,2,130
62,93,61,92,130
64,97,77,103,130
105,14,114,7,130
68,106,39,14,130
64,10,68,104,130
94,3,5,66,130
105,2,66,116,130
3,50,111,2,130
114,20,7,54,130
10,57,111,31,130
109,17,12,62,130
69,114,32,80,130
68,59,24,105,130
62,11,66,110,130
32,105,66,105,130
36,2,76,70,130
20,57,75,104,130
116,23,118,102,130
46,59,67,99,130
74,76,26,114,130
106,109,61,99,130
83,91,15,16,130
44,104,17,56,130
82,68,37,60,130
68,95,98,108,130
33,97,41,92,130
42,99,31,15,130
16,65,31,103,130
101,10,70,110,130
113,2,41,68,130
71,99,114,44,130
81,7,78,68,130
42,102,36,103,130
105,36,2,96,133
113,62,63,2,133
7,20,62,77,133
31,31,104,7,133
109,8,115,0,133
42,104,110,30,133
64,103,71,106,133
6,37,93,7,134
1,19,47,53,134
54,61,88,12,135
40,62,8,65,135
100,6,53,4,135
56,60,43,44,135
47,71,13,47,135
42,49,46,9,135
57,53,29,52,135
114,39,25,91,135
8,60,2,62,135
45,66,15,66,135
36,1,15,76,135
2,71,24,15,135
28,80,27,69,135
116,17,4,57,135
8,64,36,8,135
14,58,25,13,135
40,58,44,55,135
18,6,5,15,135
13,16,41,78,135
34,6,7,64,135
15,54,25,66,135
11,85,34,71,135
21,81,32,59,135
38,46,6,76,135
43,67,52,2,135
115,92,76,48,136
33,79,9,64,137
10,31,30,65,137
19,13,108,16,137
101,103,5,8,137
23,19,11,53,137
116,104,4,46,137
52,1,5,18,137
107,83,8,71,137
22,58,54,9,137
98,100,13,83,137
23,19,16,63,137
4,69,101,110,137
0,35,6,36,137
118,114,0,51,137
26,58,26,69,137
111,20,4,54,137
101,56,13,44,137
116,32,8,34,137
27,58,23,13,137
8,71,40,41,137
41,77,30,31,139
94,15,66,73,139
37,67,55,28,139
39,31,90,80,139
39,25,92,96,139
31,71,56,28,139
5,98,71,36,141
56,104,76,57,141
93,113,111,76,141
23,68,97,54,141
115,51,22,33,141
18,52,84,17,141
105,98,8,38,141
48,9,19,28,141
13,91,108,40,142
94,46,0,94,142
96,116,49,40,142
115,76,99,44,142
106,23,1,101,142
99,3,1,85,142
98,10,65,9,142
59,45,7,24,142
46,55,66,88,142
88,50,110,35,142
114,70,52,55,142
94,114,92,74,142
107,47,73,19,144
117,114,40,29,146
11,29,95,105,148
44,40,101,41,148
53,33,39,95,148
102,13,101,2,148
39,41,21,19,148
10,17,15,31,148
38,22,91,103,148
78,41,85,103,148
106,107,116,36,148
6,49,104,94,148
97,46,8,41,148
54,35,103,103,148
90,86,12,7,161
49,49,54,14,161
75,61,82,59,161
45,48,31,35,161
51,85,40,4,161
85,116,29,19,161
37,9,100,85,165
54,2,106,95,165
67,118,114,91,165
104,66,96,5,165
88,22,38,4,165
100,87,112,87,165
109,24,110,73,165
96,100,8,69,165
111,29,107,20,165
14,66,26,13,165
93,74,114,99,165
62,93,110,32,165
97,11,106,90,165
91,91,95,118,165
66,98,67,93,165
104,99,60,2,165
90,106,27,7,165
87,105,94,98,165
118,59,4,70,165
15,95,73,104,165
15,84,9,88,165
91,108,107,76,165
116,87,109,25,165
73,59,104,98,165
85,84,7,98,165
16,92,4,91,165
85,18,93,22,165
5,78,118,60,165
114,60,111,106,165
93,92,51,4,165
85,20,79,112,165
13,78,74,92,165
94,95,97,99,165
58,78,66,103,165
29,4,99,116,165
24,5,63,92,165
43,46,97,80,165
48,53,115,42,166
37,106,105,109,166
35,76,47,74,166
38,96,96,61,166
11,43,7,78,170
104,70,97,50,170
77,46,117,85,171
91,8,76,64,171
88,103,112,28,171
40,113,23,112,171
10,108,76,61,171
116,105,70,110,171
51,17,84,12,171
45,109,83,42,171
76,86,78,74,171
75,113,21,113,171
0,15,75,20,171
113,4,76,31,171
41,113,27,44,174
95,4,109,79,174
26,70,113,7,174
22,82,108,87,174
99,6,50,107,174
48,57,91,13,174
86,108,34,49,174
46,49,54,14,174
114,78,112,24,174
40,103,98,25,174
111,34,5,103,181
62,56,7,32,181
104,117,22,98,181
100,102,97,95,181
0,40,117,46,181
93,18,22,101,181
94,59,59,111,181
47,104,72,90,181
22,98,8,38,181
11,36,44,101,181
90,47,92,38,181
96,50,12,8,181
106,38,9,16,181
88,43,99,99,181
15,92,4,111,181
70,91,4,24,181
66,51,114,57,181
111,0,24,43,181
98,103,31,102,181
111,101,75,107,181
97,102,86,51,181
13,5,111,18,181
116,102,89,22,181
115,110,63,14,181
92,91,74,12,181
35,94,106,55,181
23,40,92,2,181
86,97,108,102,181
71,10,64,104,181
17,97,73,100,181
44,110,53,115,181
1,107,98,9,181
61,97,85,115,181
42,51,0,72,188
47,69,30,1,188
110,59,32,43,188
90,73,19,38,188
95,110,101,29,188
88,56,79,22,188
109,0,53,74,188
44,78,34,88,188
18,66,50,56,188
36,60,28,36,188
5,46,115,28,188
17,30,16,38,188
20,39,2,55,188
118,83,83,15,189
109,116,35,40,189
102,95,45,55,189
117,12,3,49,189
56,111,52,90,189
