image_number,number_of_paths
0,200
1,200
10,200
100,188
101,194
102,200
103,200
104,200
105,200
106,200
107,199
108,200
109,195
11,200
110,200
111,200
112,200
113,186
114,200
115,200
116,200
117,200
118,193
119,200
12,200
120,200
121,193
122,200
123,200
124,200
125,200
126,200
127,200
128,200
129,200
13,200
130,138
131,200
132,200
133,193
134,198
135,175
136,199
137,180
138,200
139,194
14,200
140,200
141,192
142,188
143,200
144,199
145,200
146,199
147,200
148,188
149,200
15,200
150,200
151,200
152,200
153,200
154,200
155,200
156,200
157,200
158,200
159,200
16,200
160,200
161,194
162,200
163,200
164,200
165,163
166,196
167,200
168,200
169,200
17,200
170,198
171,188
172,200
173,200
174,190
175,200
176,200
177,200
178,200
179,200
18,200
180,200
181,167
182,200
183,200
184,200
185,200
186,200
187,200
188,187
189,195
