image_number,number_of_paths
0,199
1,200
10,200
100,179
101,193
102,198
103,200
104,199
105,200
106,199
107,196
108,200
109,183
11,200
110,199
111,200
112,200
113,178
114,200
115,200
116,200
117,199
118,190
119,200
12,200
120,200
121,186
122,200
123,198
124,199
125,199
126,200
127,199
128,200
129,199
13,200
130,123
131,200
132,200
133,187
134,192
135,158
136,196
137,169
138,198
139,189
14,199
140,200
141,188
142,184
143,200
144,199
145,200
146,195
147,200
148,176
149,200
15,199
150,200
151,200
152,200
153,200
154,200
155,200
156,200
157,200
158,200
159,200
16,200
160,200
161,192
162,200
163,200
164,200
165,153
166,191
167,200
168,200
169,200
17,200
170,196
171,179
172,200
173,200
174,184
175,200
176,197
177,200
178,199
179,200
18,200
180,200
181,158
182,200
183,200
184,200
185,199
186,200
187,200
188,176
189,183
