startx,starty,goalx,goaly,imagenumber
3,108,94,31,0
76,90,104,3,0
81,107,118,17,0
71,116,108,78,0
72,39,10,74,0
61,38,47,20,0
68,39,73,50,0
73,45,89,2,0
88,33,73,89,0
11,108,46,109,0
103,83,57,79,0
68,33,94,1,0
93,13,56,103,0
118,31,46,11,0
61,49,37,10,0
88,104,55,63,0
70,34,7,58,0
63,56,53,94,0
38,29,37,4,0
36,48,14,58,0
75,98,59,114,0
91,14,53,28,0
70,26,70,79,0
38,45,61,0,0
16,116,110,7,0
96,5,98,21,0
75,57,89,24,0
52,39,20,97,0
56,68,0,5,0
112,75,82,70,0
24,46,113,82,0
23,41,50,28,0
77,13,17,106,0
80,85,60,102,0
56,61,26,113,0
77,8,76,79,0
27,101,103,30,0
82,50,102,2,0
100,84,89,76,0
100,74,1,69,0
39,26,97,96,0
70,75,68,110,0
84,8,34,18,0
56,41,7,74,0
68,12,79,83,0
5,86,105,8,0
98,104,71,43,0
70,102,24,112,0
39,2,117,86,0
46,10,76,61,0
78,57,68,43,0
39,103,69,33,0
80,72,87,91,0
81,2,77,81,0
24,104,61,84,0
42,28,72,79,0
0,118,77,104,0
35,11,98,24,0
56,67,31,15,0
51,77,99,79,0
79,102,33,44,0
39,113,25,107,0
112,1,29,46,0
71,43,71,15,0
78,82,4,5,0
83,108,69,48,0
54,15,34,3,0
31,104,83,95,0
58,107,80,42,0
93,3,88,30,0
64,118,96,21,0
115,20,47,111,0
43,105,108,22,0
70,78,78,100,0
31,18,33,95,0
81,82,90,84,0
2,86,70,75,0
97,28,96,3,0
62,115,83,115,0
64,70,28,39,0
79,110,62,115,0
33,92,114,5,0
78,113,47,96,0
24,42,62,36,0
111,7,71,118,0
49,43,92,90,0
70,45,85,85,0
106,10,73,72,0
5,85,25,105,0
82,114,73,115,0
66,115,8,76,0
72,69,51,70,0
28,94,26,49,0
72,73,118,15,0
88,71,108,80,0
27,103,109,15,0
102,72,98,4,0
58,3,81,17,0
74,3,58,71,0
112,16,31,109,0
109,69,69,44,0
63,42,42,106,0
58,107,115,74,0
101,73,101,12,0
87,72,58,36,0
63,91,26,101,0
104,28,46,104,0
20,114,75,18,0
37,116,57,94,0
3,75,56,115,0
34,5,106,32,0
70,20,68,101,0
4,108,25,109,0
45,18,13,111,0
29,27,82,5,0
78,11,69,25,0
63,98,90,75,0
94,0,118,4,0
76,47,11,57,0
118,26,62,21,0
2,115,17,42,0
51,86,87,101,0
62,19,116,17,0
30,106,19,96,0
89,74,97,88,0
46,52,43,5,0
50,44,112,11,0
112,22,91,17,0
49,105,38,95,0
39,96,28,11,0
74,84,99,72,0
69,61,63,82,0
60,48,65,48,0
87,79,91,88,0
62,4,27,90,0
80,109,43,45,0
9,87,100,26,0
57,45,30,28,0
60,45,101,33,0
86,94,28,101,0
90,10,41,46,0
101,26,80,26,0
32,27,55,43,0
30,25,44,0,0
82,21,34,46,0
95,27,105,23,0
115,82,43,112,0
82,75,80,54,0
37,6,1,12,0
45,45,89,106,0
110,93,31,35,0
10,49,37,9,0
95,98,109,24,0
15,114,53,88,0
69,32,21,45,0
97,102,82,21,0
66,94,92,3,0
104,16,48,26,0
88,27,45,16,0
34,99,67,101,0
45,19,103,8,0
85,94,52,37,0
22,43,2,72,0
10,66,65,87,0
29,1,89,17,0
85,73,98,8,0
20,50,109,34,0
43,7,61,82,0
58,112,8,12,0
102,24,91,87,0
76,18,76,98,0
29,12,75,16,0
65,67,93,24,0
26,89,65,0,0
67,117,36,47,0
45,10,76,40,0
49,8,67,79,0
22,52,55,15,0
38,51,44,7,0
27,30,31,110,0
52,102,87,81,0
99,78,8,1,0
49,26,105,26,0
0,2,59,44,0
62,32,87,22,0
65,71,35,93,0
88,26,94,108,0
4,67,41,97,0
19,116,75,73,0
41,109,64,31,0
55,35,73,19,0
54,102,57,8,0
101,32,40,112,0
82,105,68,4,0
58,60,92,14,0
19,118,30,45,0
56,114,54,5,0
86,88,43,36,0
37,33,10,114,0
41,113,39,53,0
95,106,95,14,1
35,72,82,63,1
0,69,9,40,1
80,81,88,91,1
87,79,95,31,1
29,20,40,99,1
107,67,108,63,1
38,9,27,26,1
25,19,105,15,1
16,49,91,90,1
32,96,87,26,1
51,39,53,84,1
118,95,44,27,1
97,113,34,24,1
17,103,68,47,1
35,14,34,10,1
16,111,46,111,1
83,33,32,108,1
92,78,98,118,1
117,98,98,92,1
54,70,28,48,1
74,68,108,95,1
18,3,115,14,1
77,68,99,86,1
67,63,93,5,1
84,7,72,31,1
101,2,8,69,1
92,27,43,68,1
89,92,114,71,1
104,28,106,67,1
107,52,94,35,1
116,28,1,113,1
72,41,104,62,1
62,39,65,43,1
87,17,105,86,1
77,72,94,36,1
87,52,30,44,1
109,28,7,43,1
103,9,94,67,1
42,32,22,111,1
33,39,31,3,1
87,77,105,87,1
74,33,7,67,1
59,41,36,102,1
59,91,72,113,1
101,103,103,102,1
113,114,111,105,1
15,7,67,78,1
41,3,76,37,1
30,112,35,74,1
116,11,101,2,1
105,108,80,72,1
43,98,85,56,1
68,56,54,25,1
89,83,68,68,1
12,84,32,98,1
88,60,36,38,1
12,87,38,68,1
111,47,21,68,1
52,23,115,1,1
97,60,30,118,1
96,98,60,28,1
16,62,70,48,1
85,31,81,74,1
30,35,35,110,1
64,70,68,39,1
77,61,109,79,1
92,100,89,20,1
118,41,39,41,1
25,91,96,106,1
101,97,50,15,1
98,105,103,54,1
94,63,3,95,1
105,11,96,63,1
102,19,0,69,1
112,78,58,27,1
49,27,3,117,1
93,31,102,38,1
47,12,46,87,1
65,62,93,89,1
1,99,47,64,1
53,22,18,106,1
114,7,5,67,1
43,29,100,53,1
106,66,11,50,1
52,32,49,13,1
47,18,9,78,1
35,90,86,61,1
43,88,22,37,1
29,87,115,90,1
94,84,101,80,1
85,55,34,87,1
44,100,101,22,1
99,64,70,94,1
39,80,81,79,1
27,77,31,63,1
88,116,52,47,1
110,94,34,109,1
5,101,32,72,1
51,95,40,30,1
38,91,17,16,1
34,5,59,105,1
39,92,117,58,1
64,69,83,5,1
88,46,48,4,1
45,105,36,20,1
84,72,94,98,1
36,48,74,70,1
46,64,5,103,1
64,41,103,95,1
104,95,35,15,1
36,102,47,2,1
110,49,113,95,1
91,6,24,65,1
77,51,24,11,1
109,109,5,71,1
109,45,40,100,1
20,47,77,46,1
117,20,104,102,1
91,10,83,87,1
31,87,93,19,1
117,89,55,85,1
72,38,20,3,1
91,48,94,7,1
92,87,12,46,1
9,45,55,92,1
100,50,15,100,1
41,10,106,8,1
60,111,49,91,1
46,37,23,14,1
100,41,15,71,1
59,66,38,98,1
16,75,71,71,1
31,48,26,7,1
113,59,112,76,1
98,7,31,88,1
81,65,111,28,1
46,97,67,78,1
25,104,59,118,1
45,48,18,26,1
35,15,55,38,1
82,55,89,5,1
104,92,60,73,1
94,53,39,3,1
18,118,46,71,1
97,100,33,89,1
35,46,48,102,1
43,83,33,30,1
18,21,83,80,1
86,87,28,14,1
84,7,72,77,1
34,103,116,73,1
71,47,113,57,1
109,39,42,10,1
42,74,105,94,1
83,61,104,85,1
87,37,100,55,1
45,2,63,104,1
91,71,94,106,1
25,91,92,21,1
68,2,101,7,1
48,26,68,102,1
10,118,84,63,1
42,8,19,31,1
109,34,82,7,1
100,40,37,71,1
32,38,16,41,1
27,36,43,1,1
89,52,104,2,1
55,36,94,25,1
4,100,113,112,1
47,96,24,109,1
27,104,106,96,1
7,42,108,45,1
96,110,104,102,1
20,109,110,54,1
50,68,36,42,1
101,13,16,94,1
16,83,70,43,1
110,28,110,1,1
12,93,94,16,1
24,90,112,67,1
42,100,20,49,1
39,93,43,109,1
16,6,33,101,1
104,26,87,102,1
40,106,83,114,1
95,56,93,34,1
91,17,48,96,1
38,14,41,80,1
62,95,112,93,1
44,23,102,36,1
114,17,103,71,1
44,74,83,83,1
46,43,117,100,1
117,40,96,8,1
106,90,55,102,1
88,89,17,110,1
49,76,101,112,1
81,25,51,42,1
18,103,50,57,10
82,108,43,80,10
76,97,97,101,10
85,59,110,71,10
26,0,91,98,10
31,15,114,98,10
44,31,9,10,10
96,31,111,96,10
24,44,104,81,10
85,82,67,48,10
107,66,0,58,10
80,59,97,71,10
102,63,64,89,10
117,3,23,47,10
63,108,44,98,10
3,8,82,108,10
68,106,81,45,10
14,100,6,23,10
91,85,1,93,10
86,84,36,93,10
52,70,66,85,10
67,7,70,99,10
47,59,52,97,10
42,98,91,71,10
20,12,117,15,10
49,57,22,49,10
72,81,15,20,10
56,100,47,105,10
95,46,47,104,10
101,32,62,96,10
52,86,17,38,10
52,117,115,44,10
23,42,64,104,10
51,56,103,21,10
111,77,98,103,10
80,111,98,98,10
1,2,103,72,10
63,6,57,21,10
49,76,103,93,10
117,53,70,95,10
42,116,3,111,10
78,41,113,87,10
95,23,95,42,10
57,52,26,95,10
7,93,3,90,10
48,116,75,55,10
100,45,84,70,10
116,68,76,62,10
69,67,98,94,10
114,16,8,90,10
9,85,65,0,10
2,85,96,46,10
102,23,61,63,10
52,67,67,14,10
39,5,64,109,10
47,32,65,63,10
38,88,92,100,10
72,111,5,30,10
102,92,9,6,10
104,43,80,114,10
50,41,44,102,10
48,70,64,97,10
66,105,50,65,10
94,79,0,115,10
51,79,74,49,10
83,104,35,21,10
74,83,79,94,10
48,68,43,32,10
64,104,76,44,10
71,60,23,45,10
82,44,63,109,10
61,105,29,14,10
83,100,31,98,10
39,47,75,77,10
105,79,46,101,10
96,98,51,42,10
1,89,2,7,10
66,40,4,5,10
58,87,1,103,10
15,107,57,13,10
113,7,90,104,10
94,114,96,29,10
17,96,41,2,10
109,101,24,95,10
5,55,1,5,10
65,58,107,4,10
58,76,113,7,10
64,23,98,75,10
118,66,62,92,10
37,43,108,80,10
54,95,60,102,10
69,44,62,91,10
38,88,48,46,10
2,42,52,33,10
108,78,116,75,10
85,89,53,11,10
37,7,97,93,10
13,51,73,76,10
97,36,105,118,10
13,13,95,62,10
25,107,114,60,10
102,51,101,88,10
60,45,10,110,10
95,102,30,4,10
63,110,66,72,10
22,88,78,56,10
52,40,49,34,10
69,93,55,100,10
73,59,118,57,10
67,87,98,41,10
44,89,117,55,10
4,5,50,50,10
88,104,43,108,10
98,87,29,16,10
59,15,29,47,10
96,61,58,30,10
102,42,9,106,10
11,11,108,110,10
70,101,73,69,10
52,19,27,98,10
42,96,37,98,10
19,14,109,65,10
110,91,57,2,10
104,59,26,44,10
107,98,38,50,10
104,5,11,0,10
24,97,49,45,10
82,41,28,7,10
45,62,106,64,10
106,55,43,110,10
46,47,64,69,10
32,21,80,69,10
16,18,44,79,10
61,66,18,88,10
0,101,96,60,10
109,45,109,5,10
89,96,11,88,10
44,55,22,92,10
53,54,52,24,10
30,38,70,73,10
15,94,104,76,10
97,3,115,78,10
22,8,15,118,10
111,58,61,57,10
118,78,106,98,10
97,14,5,10,10
102,41,19,38,10
57,15,45,109,10
80,56,101,108,10
83,112,102,26,10
52,60,109,9,10
81,81,60,49,10
98,29,113,107,10
48,104,79,83,10
75,59,35,97,10
101,114,31,39,10
5,38,77,96,10
62,52,111,78,10
99,77,47,101,10
92,65,55,46,10
86,70,42,58,10
61,105,111,50,10
81,77,86,47,10
44,14,97,78,10
102,52,39,52,10
76,65,47,43,10
62,97,0,17,10
42,55,50,109,10
67,57,100,49,10
8,42,101,1,10
97,46,41,43,10
61,56,2,56,10
27,5,52,49,10
81,45,58,93,10
106,40,48,70,10
105,53,2,11,10
112,65,26,15,10
13,37,34,5,10
104,54,34,48,10
57,101,43,41,10
45,69,50,60,10
74,57,112,103,10
87,114,54,28,10
113,97,76,73,10
49,9,92,101,10
108,85,93,94,10
42,68,27,12,10
52,54,86,93,10
118,17,68,61,10
