startx,starty,goalx,goaly,imagenumber
109,25,54,97,0
59,112,42,27,0
19,62,74,56,100
42,46,97,29,100
32,74,69,93,100
21,3,108,97,100
19,6,112,94,100
104,19,109,88,100
104,65,49,71,100
78,113,73,78,100
47,44,27,105,100
48,71,102,70,100
41,72,70,104,100
65,86,111,90,100
21,1,117,4,100
63,76,37,50,100
52,46,24,8,100
68,59,57,41,100
83,5,26,48,100
53,89,115,15,100
30,85,36,5,100
107,21,109,80,100
71,55,24,41,100
52,57,118,75,100
108,103,26,103,100
32,115,114,69,100
27,6,29,100,100
63,44,3,9,100
90,24,102,83,100
43,115,46,44,100
47,96,88,1,100
36,77,117,44,100
34,94,78,76,100
73,76,117,86,100
67,98,108,41,100
96,19,97,29,100
74,60,42,92,100
34,55,26,0,101
70,100,3,41,101
4,64,31,55,101
29,2,21,18,101
87,83,17,42,101
88,15,103,74,101
1,3,91,99,101
89,70,81,62,101
31,38,14,48,101
61,82,41,45,101
85,97,1,4,101
100,71,14,59,101
106,89,62,105,101
11,53,27,50,101
77,85,75,17,101
74,54,91,83,101
12,60,70,96,101
0,12,6,58,101
12,35,73,89,101
18,38,92,23,102
81,15,25,113,102
103,111,84,61,102
30,32,116,27,102
42,31,102,3,102
23,41,14,113,102
11,109,41,47,104
42,101,84,25,104
62,98,37,84,104
78,39,91,84,104
91,73,49,95,104
84,23,98,110,105
93,30,89,23,106
2,74,95,101,106
96,15,37,22,106
24,31,42,36,106
17,14,87,52,106
51,37,64,39,106
74,56,45,45,107
70,63,28,6,107
27,58,96,103,107
43,33,22,109,107
46,44,66,23,107
12,61,78,32,107
57,23,82,17,107
15,90,65,51,107
40,80,23,48,107
117,15,69,47,107
39,47,3,106,107
3,82,108,110,107
39,56,35,4,107
68,1,21,68,107
110,78,14,10,107
42,15,55,25,108
30,63,109,109,109
96,54,36,58,109
11,92,102,111,109
68,9,67,57,109
58,106,99,49,109
87,17,110,65,109
99,16,56,72,109
46,114,72,7,109
103,76,77,62,109
3,110,63,46,109
79,77,61,82,109
41,5,91,64,109
88,82,87,53,109
77,79,85,88,109
101,84,92,107,109
80,61,79,88,109
91,115,57,7,109
95,19,13,64,109
51,0,105,75,109
103,67,110,59,109
100,113,83,76,109
36,11,66,1,109
85,26,16,75,109
52,54,104,103,109
75,91,75,79,109
104,117,12,92,109
75,47,101,84,109
28,59,116,108,109
68,29,96,41,11
111,79,79,66,11
72,38,94,117,11
35,96,35,104,110
3,99,117,90,110
62,25,75,113,111
94,48,69,116,112
58,33,90,23,112
109,116,101,109,113
