image_number,number_of_paths
100,"(array([19, 62]), array([74, 56]))"
100,"(array([42, 46]), array([97, 29]))"
0,"(array([ 59, 112]), array([42, 27]))"
100,"(array([42, 46]), array([97, 29]))"
100,"(array([21,  3]), array([108,  97]))"
100,"(array([19,  6]), array([112,  94]))"
100,"(array([104,  65]), array([49, 71]))"
100,"(array([48, 71]), array([102,  70]))"
100,"(array([65, 86]), array([111,  90]))"
100,"(array([21,  1]), array([117,   4]))"
100,"(array([52, 46]), array([24,  8]))"
100,"(array([83,  5]), array([26, 48]))"
100,"(array([53, 89]), array([115,  15]))"
100,"(array([30, 85]), array([36,  5]))"
100,"(array([52, 57]), array([118,  75]))"
100,"(array([108, 103]), array([ 26, 103]))"
100,"(array([ 32, 115]), array([114,  69]))"
100,"(array([27,  6]), array([ 29, 100]))"
100,"(array([63, 44]), array([3, 9]))"
100,"(array([47, 96]), array([88,  1]))"
100,"(array([36, 77]), array([117,  44]))"
100,"(array([73, 76]), array([117,  86]))"
100,"(array([67, 98]), array([108,  41]))"
101,"(array([88, 15]), array([103,  74]))"
101,"(array([1, 3]), array([91, 99]))"
101,"(array([85, 97]), array([1, 4]))"
101,"(array([77, 85]), array([75, 17]))"
101,"(array([ 0, 12]), array([ 6, 58]))"
102,"(array([42, 31]), array([102,   3]))"
102,"(array([23, 41]), array([ 14, 113]))"
106,"(array([93, 30]), array([89, 23]))"
107,"(array([27, 58]), array([ 96, 103]))"
107,"(array([117,  15]), array([69, 47]))"
107,"(array([ 3, 82]), array([108, 110]))"
107,"(array([110,  78]), array([14, 10]))"
109,"(array([30, 63]), array([109, 109]))"
109,"(array([11, 92]), array([102, 111]))"
109,"(array([68,  9]), array([67, 57]))"
109,"(array([ 58, 106]), array([99, 49]))"
109,"(array([87, 17]), array([110,  65]))"
109,"(array([99, 16]), array([56, 72]))"
109,"(array([ 46, 114]), array([72,  7]))"
109,"(array([  3, 110]), array([63, 46]))"
109,"(array([41,  5]), array([91, 64]))"
109,"(array([ 91, 115]), array([57,  7]))"
109,"(array([95, 19]), array([13, 64]))"
109,"(array([51,  0]), array([105,  75]))"
109,"(array([36, 11]), array([66,  1]))"
109,"(array([85, 26]), array([16, 75]))"
109,"(array([104, 117]), array([12, 92]))"
112,"(array([94, 48]), array([ 69, 116]))"
113,"(array([98,  3]), array([ 88, 118]))"
113,"(array([118,  11]), array([ 44, 116]))"
113,"(array([ 36, 117]), array([45, 24]))"
113,"(array([83, 38]), array([12, 19]))"
113,"(array([99, 32]), array([15, 40]))"
113,"(array([15, 32]), array([107, 114]))"
113,"(array([ 13, 114]), array([13, 41]))"
113,"(array([ 81, 118]), array([106,  76]))"
113,"(array([11,  2]), array([115,  11]))"
113,"(array([ 24, 114]), array([66,  6]))"
113,"(array([ 5, 18]), array([96, 48]))"
113,"(array([105,   1]), array([ 94, 109]))"
113,"(array([33, 98]), array([83, 25]))"
113,"(array([ 87, 111]), array([93, 67]))"
113,"(array([ 39, 110]), array([11, 35]))"
113,"(array([ 18, 106]), array([56, 29]))"
113,"(array([100,  14]), array([112, 104]))"
113,"(array([ 32, 112]), array([69, 47]))"
113,"(array([ 20, 100]), array([47,  9]))"
113,"(array([13, 36]), array([87, 61]))"
115,"(array([79, 83]), array([59, 30]))"
117,"(array([ 92, 117]), array([ 17, 117]))"
118,"(array([72,  7]), array([41, 34]))"
118,"(array([82, 66]), array([78,  3]))"
118,"(array([68, 66]), array([22, 78]))"
118,"(array([25, 75]), array([77,  6]))"
118,"(array([91, 94]), array([ 4, 88]))"
118,"(array([33, 96]), array([88,  7]))"
118,"(array([23, 72]), array([73, 77]))"
118,"(array([40, 60]), array([69,  1]))"
118,"(array([48, 58]), array([ 14, 118]))"
121,"(array([ 48, 113]), array([15, 48]))"
121,"(array([13, 28]), array([116,   7]))"
121,"(array([12, 55]), array([96, 17]))"
121,"(array([61, 70]), array([ 79, 110]))"
121,"(array([30, 34]), array([107,  17]))"
121,"(array([ 77, 116]), array([33, 41]))"
121,"(array([69, 56]), array([106, 116]))"
121,"(array([106, 110]), array([102,  11]))"
121,"(array([ 71, 114]), array([62, 54]))"
121,"(array([9, 6]), array([79,  2]))"
127,"(array([  1, 115]), array([43, 16]))"
129,"(array([35,  1]), array([90, 76]))"
130,"(array([105,  45]), array([58, 58]))"
130,"(array([27, 15]), array([118, 102]))"
130,"(array([4, 7]), array([12, 99]))"
130,"(array([27, 10]), array([ 45, 111]))"
130,"(array([106,  37]), array([73, 30]))"
130,"(array([69, 61]), array([21, 11]))"
130,"(array([36, 98]), array([70, 68]))"
130,"(array([110, 106]), array([ 79, 106]))"
130,"(array([ 68, 114]), array([109,  40]))"
130,"(array([87,  5]), array([ 83, 103]))"
130,"(array([36, 59]), array([ 99, 110]))"
130,"(array([91, 10]), array([105, 101]))"
130,"(array([33, 91]), array([ 4, 68]))"
130,"(array([ 25, 111]), array([24, 62]))"
130,"(array([62, 91]), array([36, 84]))"
130,"(array([39, 12]), array([ 28, 104]))"
130,"(array([ 46, 118]), array([69, 84]))"
130,"(array([ 70, 117]), array([72, 12]))"
130,"(array([76, 65]), array([100,   2]))"
130,"(array([ 46, 113]), array([52, 60]))"
130,"(array([ 7, 12]), array([46, 54]))"
130,"(array([68, 20]), array([63, 57]))"
130,"(array([67,  1]), array([ 9, 52]))"
130,"(array([10,  0]), array([37, 96]))"
130,"(array([15,  9]), array([ 39, 101]))"
130,"(array([ 67, 111]), array([117,  20]))"
130,"(array([ 5, 58]), array([3, 6]))"
130,"(array([17, 69]), array([117,  11]))"
130,"(array([ 9, 98]), array([59, 62]))"
130,"(array([70, 92]), array([40, 16]))"
130,"(array([ 25, 106]), array([74, 79]))"
130,"(array([35, 11]), array([41, 71]))"
130,"(array([99,  8]), array([17, 67]))"
130,"(array([ 7, 60]), array([32, 69]))"
130,"(array([105, 101]), array([52, 50]))"
130,"(array([111,  30]), array([ 29, 104]))"
130,"(array([4, 7]), array([57, 60]))"
130,"(array([114, 102]), array([38, 98]))"
130,"(array([35, 68]), array([111,  17]))"
130,"(array([19,  8]), array([101,   5]))"
130,"(array([92,  9]), array([73, 77]))"
130,"(array([18, 56]), array([117, 109]))"
130,"(array([118,  39]), array([15, 10]))"
130,"(array([ 42, 107]), array([107, 106]))"
130,"(array([82,  8]), array([ 4, 51]))"
130,"(array([11, 62]), array([ 61, 102]))"
130,"(array([82, 68]), array([ 40, 107]))"
130,"(array([35, 69]), array([ 27, 106]))"
130,"(array([63, 63]), array([ 42, 116]))"
130,"(array([68,  3]), array([25, 68]))"
130,"(array([104, 110]), array([ 7, 13]))"
130,"(array([61, 57]), array([ 8, 10]))"
130,"(array([ 82, 106]), array([97,  9]))"
130,"(array([29, 61]), array([ 88, 105]))"
130,"(array([39, 20]), array([93, 47]))"
130,"(array([21, 58]), array([110,  13]))"
130,"(array([71, 79]), array([39, 88]))"
130,"(array([114, 111]), array([77, 85]))"
130,"(array([70, 89]), array([103,   2]))"
130,"(array([41, 81]), array([83,  4]))"
130,"(array([17, 11]), array([16, 59]))"
130,"(array([108,  39]), array([ 7, 50]))"
130,"(array([79, 12]), array([28, 87]))"
130,"(array([ 39, 111]), array([90, 16]))"
130,"(array([36, 62]), array([ 21, 111]))"
130,"(array([110,  19]), array([37, 59]))"
130,"(array([110,  37]), array([24, 57]))"
130,"(array([ 20, 107]), array([42, 19]))"
130,"(array([22,  6]), array([14, 60]))"
130,"(array([115,  31]), array([12, 10]))"
130,"(array([33, 57]), array([ 7, 58]))"
133,"(array([70, 22]), array([112,  38]))"
133,"(array([62, 76]), array([102,  50]))"
133,"(array([40, 54]), array([ 9, 89]))"
133,"(array([112,  69]), array([61, 76]))"
133,"(array([14, 32]), array([115,  47]))"
133,"(array([ 49, 100]), array([97, 30]))"
133,"(array([45, 53]), array([115, 103]))"
133,"(array([95, 66]), array([ 28, 107]))"
133,"(array([66, 31]), array([109,  32]))"
133,"(array([116,   7]), array([ 59, 106]))"
133,"(array([30, 92]), array([37, 47]))"
133,"(array([8, 0]), array([118, 116]))"
134,"(array([75, 34]), array([  7, 116]))"
134,"(array([ 2, 67]), array([59, 81]))"
134,"(array([22,  4]), array([ 31, 111]))"
134,"(array([13, 38]), array([115,  15]))"
134,"(array([ 4, 31]), array([88,  3]))"
135,"(array([27, 15]), array([49, 71]))"
135,"(array([52, 69]), array([90, 57]))"
135,"(array([100,  86]), array([113,  42]))"
135,"(array([ 1, 89]), array([41, 14]))"
135,"(array([15, 68]), array([91, 19]))"
135,"(array([33, 85]), array([23, 12]))"
135,"(array([34, 70]), array([66, 12]))"
135,"(array([31, 76]), array([50,  7]))"
135,"(array([115,  43]), array([20, 77]))"
135,"(array([52,  4]), array([37, 54]))"
135,"(array([48, 17]), array([ 1, 68]))"
135,"(array([59, 13]), array([15, 45]))"
135,"(array([11, 56]), array([30, 10]))"
135,"(array([40,  6]), array([14, 85]))"
135,"(array([10, 15]), array([39, 69]))"
135,"(array([15, 45]), array([9, 8]))"
135,"(array([16, 16]), array([24, 73]))"
135,"(array([49, 13]), array([10, 52]))"
135,"(array([ 6, 77]), array([29,  7]))"
135,"(array([69, 14]), array([52, 56]))"
135,"(array([36,  8]), array([19, 86]))"
135,"(array([95, 11]), array([ 7, 14]))"
135,"(array([47, 12]), array([44, 12]))"
135,"(array([20,  4]), array([95, 78]))"
135,"(array([17, 69]), array([89, 51]))"
135,"(array([91, 48]), array([ 3, 84]))"
135,"(array([44, 15]), array([ 6, 60]))"
135,"(array([ 2, 93]), array([ 2, 71]))"
135,"(array([30, 63]), array([48,  3]))"
135,"(array([59,  7]), array([16, 77]))"
135,"(array([21, 13]), array([103,  15]))"
135,"(array([26, 55]), array([39, 11]))"
135,"(array([ 0, 96]), array([96, 24]))"
135,"(array([48,  5]), array([38, 62]))"
135,"(array([41, 85]), array([26, 10]))"
135,"(array([11, 59]), array([ 8, 13]))"
135,"(array([45, 13]), array([113,  21]))"
135,"(array([89, 13]), array([5, 6]))"
135,"(array([ 9, 60]), array([25,  4]))"
136,"(array([51, 67]), array([ 83, 100]))"
136,"(array([114, 100]), array([1, 5]))"
137,"(array([33, 47]), array([112,  90]))"
137,"(array([111, 107]), array([47,  5]))"
137,"(array([110,  93]), array([43, 93]))"
137,"(array([114,  43]), array([ 4, 46]))"
137,"(array([109,  59]), array([16, 34]))"
137,"(array([21, 42]), array([115,  25]))"
137,"(array([24, 22]), array([117,  33]))"
137,"(array([113,  18]), array([20, 42]))"
137,"(array([ 2, 39]), array([43, 11]))"
137,"(array([103,  90]), array([15, 78]))"
137,"(array([15, 63]), array([ 0, 57]))"
137,"(array([106,  46]), array([45, 11]))"
137,"(array([ 2, 28]), array([114, 111]))"
137,"(array([30, 59]), array([101, 101]))"
137,"(array([107,  43]), array([18, 48]))"
137,"(array([22, 45]), array([102, 112]))"
137,"(array([105,  71]), array([16, 54]))"
137,"(array([ 0, 30]), array([89, 85]))"
137,"(array([115,  48]), array([16, 71]))"
137,"(array([ 0, 47]), array([43,  4]))"
137,"(array([117,  44]), array([ 5, 34]))"
137,"(array([113,  26]), array([10, 59]))"
137,"(array([102,  44]), array([27, 88]))"
137,"(array([24, 43]), array([115,  30]))"
137,"(array([114,  68]), array([43,  4]))"
137,"(array([41, 14]), array([105,  68]))"
138,"(array([28, 68]), array([106,  41]))"
139,"(array([68, 71]), array([14, 15]))"
139,"(array([ 6, 26]), array([66, 65]))"
139,"(array([46, 65]), array([38, 17]))"
139,"(array([39, 61]), array([46,  0]))"
139,"(array([65, 82]), array([ 5, 52]))"
139,"(array([32, 86]), array([16, 29]))"
139,"(array([42, 61]), array([36, 18]))"
139,"(array([49, 28]), array([41, 82]))"
139,"(array([51, 23]), array([64, 67]))"
139,"(array([47, 89]), array([36, 13]))"
141,"(array([67, 63]), array([87, 91]))"
141,"(array([106,  48]), array([114,   9]))"
141,"(array([15, 95]), array([107,  85]))"
141,"(array([31, 97]), array([23, 41]))"
141,"(array([110,   9]), array([80, 55]))"
141,"(array([102,  48]), array([41, 96]))"
141,"(array([104,  90]), array([ 72, 102]))"
141,"(array([28, 44]), array([ 60, 109]))"
141,"(array([ 64, 114]), array([70, 13]))"
141,"(array([103,  63]), array([ 1, 53]))"
142,"(array([ 2, 88]), array([97, 11]))"
142,"(array([104,  73]), array([ 4, 22]))"
142,"(array([ 7, 13]), array([ 1, 82]))"
142,"(array([ 94, 103]), array([83, 64]))"
142,"(array([105, 109]), array([80, 53]))"
142,"(array([104,  53]), array([ 7, 19]))"
142,"(array([ 6, 83]), array([  1, 102]))"
142,"(array([75, 52]), array([ 12, 114]))"
142,"(array([76, 70]), array([105, 110]))"
142,"(array([52, 50]), array([90,  4]))"
142,"(array([65, 36]), array([ 5, 16]))"
144,"(array([88, 60]), array([ 32, 116]))"
146,"(array([32, 32]), array([23, 78]))"
146,"(array([ 1, 95]), array([63,  9]))"
146,"(array([58, 51]), array([62, 25]))"
148,"(array([116,  94]), array([47, 41]))"
148,"(array([19, 24]), array([102,  21]))"
148,"(array([90, 79]), array([58, 18]))"
148,"(array([ 93, 117]), array([ 8, 30]))"
148,"(array([84, 79]), array([59, 26]))"
148,"(array([58, 88]), array([97, 20]))"
148,"(array([108,  10]), array([39, 43]))"
148,"(array([ 8, 21]), array([89, 36]))"
148,"(array([24, 23]), array([41, 96]))"
148,"(array([82, 97]), array([33, 31]))"
148,"(array([115,  86]), array([ 5, 42]))"
148,"(array([38, 22]), array([100, 105]))"
148,"(array([39, 19]), array([107,  22]))"
148,"(array([112,  26]), array([52, 49]))"
148,"(array([96, 46]), array([11, 52]))"
148,"(array([95, 78]), array([ 0, 34]))"
148,"(array([111,  15]), array([ 39, 115]))"
148,"(array([40, 92]), array([ 79, 114]))"
148,"(array([ 99, 100]), array([39, 22]))"
15,"(array([66,  6]), array([73, 45]))"
161,"(array([28, 68]), array([ 2, 11]))"
161,"(array([86, 46]), array([118,  72]))"
161,"(array([ 68, 114]), array([62, 47]))"
161,"(array([39, 30]), array([107,  86]))"
161,"(array([61, 35]), array([ 76, 118]))"
161,"(array([57, 57]), array([117,  69]))"
161,"(array([57, 54]), array([ 85, 117]))"
165,"(array([63, 95]), array([93, 85]))"
165,"(array([111,  83]), array([49,  2]))"
165,"(array([110,  72]), array([108,  31]))"
165,"(array([104,   8]), array([16, 89]))"
165,"(array([36, 13]), array([92, 86]))"
165,"(array([29,  8]), array([ 70, 111]))"
165,"(array([ 1, 78]), array([ 97, 106]))"
165,"(array([118,  79]), array([102,  12]))"
165,"(array([55,  4]), array([94, 79]))"
165,"(array([  1, 114]), array([106,  21]))"
165,"(array([18, 75]), array([112, 112]))"
165,"(array([  6, 109]), array([89, 89]))"
165,"(array([91, 19]), array([56,  8]))"
165,"(array([14, 76]), array([109, 102]))"
165,"(array([110,  84]), array([33,  8]))"
165,"(array([103,  91]), array([13, 63]))"
165,"(array([32,  7]), array([ 84, 102]))"
165,"(array([ 4, 75]), array([63, 86]))"
165,"(array([37,  3]), array([ 72, 103]))"
165,"(array([42, 15]), array([ 92, 104]))"
165,"(array([ 83, 101]), array([12, 86]))"
165,"(array([31,  2]), array([114,  83]))"
165,"(array([100,  87]), array([32, 19]))"
165,"(array([ 2, 78]), array([89, 81]))"
165,"(array([83, 90]), array([51,  9]))"
165,"(array([32,  4]), array([100,  95]))"
165,"(array([17, 66]), array([94, 78]))"
165,"(array([10, 97]), array([78, 91]))"
165,"(array([116,   0]), array([22, 65]))"
165,"(array([39, 17]), array([96, 79]))"
165,"(array([102,  28]), array([88, 85]))"
165,"(array([24, 15]), array([77, 96]))"
165,"(array([92, 96]), array([  8, 103]))"
165,"(array([98, 73]), array([109,  24]))"
165,"(array([113, 109]), array([ 6, 84]))"
165,"(array([38, 17]), array([ 60, 118]))"
165,"(array([103,  88]), array([95, 10]))"
165,"(array([ 11, 110]), array([46,  6]))"
165,"(array([  9, 115]), array([84, 96]))"
165,"(array([33,  5]), array([97, 86]))"
165,"(array([96, 15]), array([  0, 107]))"
165,"(array([30,  8]), array([117, 117]))"
165,"(array([18, 73]), array([80, 87]))"
165,"(array([20, 18]), array([ 14, 100]))"
166,"(array([91, 22]), array([46, 20]))"
