image_number,number_of_paths
0,198
1,200
10,200
100,165
101,181
102,194
103,200
104,195
105,199
106,194
107,185
108,199
109,172
11,197
110,198
111,199
112,198
113,166
114,199
115,197
116,198
117,198
118,168
119,200
12,195
120,200
121,165
122,200
123,193
124,198
125,199
126,200
127,195
128,200
129,197
13,199
130,103
131,197
132,200
133,170
134,182
135,134
136,190
137,150
138,196
139,170
14,199
140,199
141,182
142,172
143,199
144,197
145,199
146,189
147,200
148,155
149,200
15,197
150,200
151,200
152,200
153,198
154,200
155,200
156,200
157,198
158,200
159,195
16,200
160,200
161,183
162,200
163,200
164,199
165,124
166,176
167,199
168,200
169,200
17,198
170,188
171,169
172,200
173,200
174,168
175,198
176,194
177,200
178,198
179,198
18,198
180,200
181,127
182,198
183,200
184,200
185,199
186,200
187,199
188,161
189,165
