image_number,number_of_paths
0,"(array([116,  16]), array([ 21, 110]))"
0,"(array([71, 84]), array([76, 56]))"
0,"(array([ 72, 100]), array([ 1, 82]))"
1,"(array([24, 33]), array([ 2, 69]))"
1,"(array([ 67, 101]), array([ 96, 109]))"
10,"(array([103,  85]), array([ 0, 90]))"
10,"(array([31, 95]), array([ 0, 54]))"
10,"(array([56, 90]), array([19,  1]))"
10,"(array([70, 89]), array([29, 59]))"
100,"(array([106,  34]), array([ 48, 105]))"
100,"(array([26, 52]), array([17,  4]))"
100,"(array([114, 113]), array([85, 84]))"
100,"(array([33,  8]), array([100,  30]))"
100,"(array([ 33, 100]), array([110, 109]))"
100,"(array([99,  8]), array([31, 71]))"
100,"(array([99, 76]), array([20, 72]))"
100,"(array([ 73, 104]), array([104,  33]))"
100,"(array([108,  27]), array([71, 84]))"
100,"(array([114,  97]), array([78, 51]))"
100,"(array([83, 82]), array([101,  43]))"
100,"(array([ 63, 106]), array([99, 17]))"
100,"(array([29, 91]), array([117,  89]))"
100,"(array([82, 72]), array([32,  0]))"
100,"(array([111,  46]), array([36, 47]))"
100,"(array([ 48, 110]), array([115,  98]))"
100,"(array([108,  15]), array([47, 52]))"
100,"(array([ 31, 103]), array([106,  76]))"
100,"(array([42,  9]), array([44, 89]))"
100,"(array([42, 85]), array([89, 25]))"
100,"(array([113,  80]), array([61, 85]))"
100,"(array([88,  4]), array([ 37, 113]))"
100,"(array([35,  8]), array([ 45, 111]))"
100,"(array([102,  73]), array([30, 73]))"
100,"(array([86, 46]), array([114, 102]))"
100,"(array([54, 91]), array([ 8, 10]))"
100,"(array([68, 55]), array([96, 14]))"
100,"(array([107,  85]), array([29, 52]))"
100,"(array([65, 83]), array([97, 15]))"
100,"(array([62, 72]), array([96, 17]))"
100,"(array([101,  91]), array([ 35, 112]))"
100,"(array([30, 50]), array([107,  94]))"
100,"(array([101,  73]), array([70, 67]))"
100,"(array([109,  54]), array([43, 60]))"
100,"(array([102,  62]), array([72, 90]))"
100,"(array([57, 91]), array([116, 111]))"
100,"(array([50, 80]), array([118,  76]))"
100,"(array([113,  11]), array([ 31, 107]))"
100,"(array([ 68, 112]), array([111,  57]))"
100,"(array([115,   2]), array([54, 70]))"
100,"(array([74, 72]), array([40,  5]))"
100,"(array([ 45, 102]), array([43,  3]))"
100,"(array([111,  75]), array([76, 48]))"
100,"(array([84, 11]), array([ 45, 110]))"
100,"(array([116,  20]), array([ 53, 100]))"
100,"(array([ 71, 104]), array([113, 106]))"
100,"(array([37, 60]), array([110,  90]))"
100,"(array([35, 91]), array([83,  2]))"
100,"(array([21, 61]), array([112,  56]))"
100,"(array([83, 52]), array([106,  12]))"
100,"(array([86, 89]), array([100,  39]))"
100,"(array([113,  78]), array([54, 92]))"
100,"(array([47, 81]), array([ 41, 108]))"
100,"(array([46, 82]), array([113,  87]))"
100,"(array([98, 16]), array([82, 77]))"
100,"(array([11,  0]), array([110,   6]))"
100,"(array([31, 83]), array([9, 0]))"
100,"(array([ 82, 114]), array([105,  53]))"
100,"(array([ 25, 115]), array([111,  39]))"
100,"(array([ 30, 116]), array([118,  36]))"
126,"(array([59,  5]), array([113,  53]))"
101,"(array([37, 58]), array([62, 11]))"
101,"(array([ 9, 15]), array([27, 39]))"
101,"(array([100,  91]), array([22, 20]))"
101,"(array([55, 86]), array([ 9, 93]))"
101,"(array([37, 58]), array([62, 11]))"
101,"(array([ 9, 15]), array([27, 39]))"
101,"(array([100,  91]), array([22, 20]))"
101,"(array([55, 86]), array([ 9, 93]))"
101,"(array([26, 11]), array([57, 80]))"
101,"(array([90, 66]), array([65,  3]))"
101,"(array([24, 14]), array([ 5, 55]))"
101,"(array([44, 68]), array([ 2, 10]))"
101,"(array([11,  2]), array([12, 46]))"
101,"(array([87, 56]), array([13, 51]))"
101,"(array([ 8, 94]), array([67, 14]))"
101,"(array([54,  2]), array([77, 73]))"
101,"(array([44, 69]), array([12,  2]))"
101,"(array([15, 89]), array([82,  8]))"
101,"(array([19,  7]), array([30, 62]))"
101,"(array([29, 39]), array([ 67, 103]))"
101,"(array([ 1, 46]), array([106,  78]))"
101,"(array([37, 52]), array([ 2, 13]))"
101,"(array([25, 40]), array([68, 58]))"
101,"(array([  7, 117]), array([26,  1]))"
101,"(array([23, 63]), array([11,  1]))"
101,"(array([5, 2]), array([ 75, 108]))"
101,"(array([13, 16]), array([85, 57]))"
101,"(array([15,  7]), array([ 3, 49]))"
101,"(array([90, 81]), array([23, 16]))"
101,"(array([13, 42]), array([ 74, 103]))"
101,"(array([22,  7]), array([63,  4]))"
101,"(array([33, 54]), array([68, 15]))"
101,"(array([62, 48]), array([33, 43]))"
101,"(array([67,  8]), array([16, 50]))"
101,"(array([72, 80]), array([11, 96]))"
101,"(array([32, 51]), array([100, 100]))"
101,"(array([15,  0]), array([15, 39]))"
101,"(array([89, 89]), array([16,  9]))"
101,"(array([70, 90]), array([10, 96]))"
101,"(array([60, 80]), array([ 5, 18]))"
102,"(array([94, 86]), array([49, 32]))"
102,"(array([91, 28]), array([ 1, 45]))"
102,"(array([112,  21]), array([37, 43]))"
102,"(array([15, 22]), array([42, 99]))"
102,"(array([23, 55]), array([ 26, 113]))"
102,"(array([22, 45]), array([ 99, 112]))"
102,"(array([ 76, 103]), array([28, 38]))"
102,"(array([40, 36]), array([ 99, 100]))"
102,"(array([ 0, 77]), array([36, 57]))"
102,"(array([  3, 101]), array([58, 77]))"
102,"(array([96,  6]), array([36, 16]))"
102,"(array([46, 57]), array([ 93, 112]))"
102,"(array([78, 12]), array([115,  82]))"
103,"(array([86, 92]), array([58, 15]))"
104,"(array([ 20, 117]), array([30, 28]))"
104,"(array([37, 41]), array([108,  96]))"
104,"(array([ 50, 114]), array([27, 70]))"
104,"(array([34, 34]), array([ 21, 102]))"
104,"(array([ 18, 103]), array([ 86, 109]))"
104,"(array([ 55, 113]), array([16,  5]))"
104,"(array([93, 95]), array([56, 43]))"
104,"(array([78, 61]), array([ 70, 106]))"
