startx,starty,goalx,goaly,imagenumber
110,81,98,80,0
29,46,116,9,0
26,8,86,19,0
85,72,72,106,0
66,15,17,109,0
7,5,28,94,0
42,90,56,29,0
62,74,77,83,0
99,27,116,92,1
28,16,58,45,1
94,89,1,114,1
17,114,92,60,1
4,74,86,65,1
40,75,96,53,1
19,83,16,105,1
118,50,12,49,10
89,85,72,45,10
22,9,54,14,10
93,14,62,92,10
1,39,103,5,10
111,87,74,70,10
116,62,102,53,10
82,118,70,93,100
77,59,37,9,100
113,65,23,80,100
71,100,33,59,100
69,84,65,45,100
113,58,23,6,100
53,117,105,42,100
113,67,82,81,100
44,92,21,59,100
47,71,114,58,100
34,112,71,110,100
72,76,55,113,100
86,45,39,96,100
64,109,49,59,100
103,11,71,79,100
36,87,111,58,100
68,61,41,106,100
57,89,48,115,100
118,53,85,92,100
67,96,75,60,100
33,75,31,81,100
62,50,41,74,100
64,102,99,8,100
111,21,39,66,100
108,99,43,54,100
69,110,97,14,100
73,99,66,93,100
110,41,79,97,100
9,3,18,11,100
56,105,24,65,100
22,96,43,56,100
85,73,103,115,100
42,88,26,94,100
111,75,72,85,100
41,109,106,61,100
106,113,104,13,100
102,23,19,102,100
56,90,20,6,100
60,62,79,96,100
116,15,61,71,100
90,9,53,86,100
86,92,21,75,100
24,53,55,47,100
80,70,43,69,100
106,95,75,105,100
73,49,41,100,100
70,73,78,74,100
118,7,105,54,100
32,64,114,11,100
102,15,66,115,100
44,91,31,55,100
60,107,106,29,100
49,51,19,75,100
70,116,35,98,100
40,114,85,90,100
31,117,24,88,100
113,58,117,46,100
58,79,62,60,100
109,71,32,104,100
59,56,19,74,100
52,100,105,73,100
71,62,83,76,100
115,108,65,91,100
60,114,91,19,100
57,110,114,58,100
72,44,118,10,100
19,5,32,78,100
28,95,38,87,100
75,114,59,110,100
87,81,53,65,100
67,83,82,51,100
84,47,13,6,101
81,100,24,58,101
73,83,84,105,101
27,9,68,101,101
35,9,3,12,101
39,70,24,58,101
82,56,95,84,101
82,10,1,62,101
13,86,3,2,101
2,60,85,52,101
91,67,115,91,101
70,86,12,54,101
6,57,36,40,101
80,67,23,18,101
28,43,20,75,101
91,96,22,47,101
79,46,62,77,101
10,34,85,10,101
94,76,38,50,101
33,44,83,86,101
87,84,11,39,101
75,101,9,1,101
56,3,81,52,101
76,95,46,56,101
77,80,87,61,101
1,36,69,98,101
106,94,75,53,101
70,44,81,81,101
14,63,41,48,101
33,50,75,15,101
25,9,73,12,101
0,57,79,99,101
51,82,20,43,101
79,44,109,93,101
97,100,14,67,101
100,92,6,48,101
41,72,21,19,101
22,45,9,51,101
85,98,79,92,101
89,66,26,36,101
21,60,86,79,101
73,106,68,90,101
103,91,65,2,101
87,14,3,32,101
75,58,113,89,101
31,1,9,91,101
6,3,71,91,101
93,73,80,93,101
28,57,92,100,101
88,118,113,11,102
21,104,18,34,102
106,17,104,19,102
