image_number,number_of_paths
0,"(array([7, 5]), array([28, 94]))"
100,"(array([77, 59]), array([37,  9]))"
100,"(array([113,  65]), array([23, 80]))"
100,"(array([113,  58]), array([23,  6]))"
100,"(array([ 53, 117]), array([105,  42]))"
100,"(array([113,  67]), array([82, 81]))"
100,"(array([47, 71]), array([114,  58]))"
100,"(array([103,  11]), array([71, 79]))"
100,"(array([36, 87]), array([111,  58]))"
100,"(array([118,  53]), array([85, 92]))"
100,"(array([ 64, 102]), array([99,  8]))"
100,"(array([111,  21]), array([39, 66]))"
100,"(array([108,  99]), array([43, 54]))"
100,"(array([ 69, 110]), array([97, 14]))"
100,"(array([110,  41]), array([79, 97]))"
100,"(array([85, 73]), array([103, 115]))"
100,"(array([111,  75]), array([72, 85]))"
100,"(array([ 41, 109]), array([106,  61]))"
100,"(array([102,  23]), array([ 19, 102]))"
100,"(array([56, 90]), array([20,  6]))"
100,"(array([116,  15]), array([61, 71]))"
100,"(array([90,  9]), array([53, 86]))"
100,"(array([106,  95]), array([ 75, 105]))"
100,"(array([32, 64]), array([114,  11]))"
100,"(array([102,  15]), array([ 66, 115]))"
100,"(array([ 60, 107]), array([106,  29]))"
100,"(array([109,  71]), array([ 32, 104]))"
100,"(array([ 52, 100]), array([105,  73]))"
100,"(array([115, 108]), array([65, 91]))"
100,"(array([ 60, 114]), array([91, 19]))"
100,"(array([ 57, 110]), array([114,  58]))"
100,"(array([72, 44]), array([118,  10]))"
100,"(array([19,  5]), array([32, 78]))"
101,"(array([27,  9]), array([ 68, 101]))"
101,"(array([82, 10]), array([ 1, 62]))"
101,"(array([13, 86]), array([3, 2]))"
101,"(array([70, 86]), array([12, 54]))"
101,"(array([80, 67]), array([23, 18]))"
101,"(array([28, 43]), array([20, 75]))"
101,"(array([10, 34]), array([85, 10]))"
101,"(array([87, 84]), array([11, 39]))"
101,"(array([ 75, 101]), array([9, 1]))"
101,"(array([56,  3]), array([81, 52]))"
101,"(array([33, 50]), array([75, 15]))"
101,"(array([25,  9]), array([73, 12]))"
101,"(array([41, 72]), array([21, 19]))"
101,"(array([103,  91]), array([65,  2]))"
101,"(array([87, 14]), array([ 3, 32]))"
101,"(array([31,  1]), array([ 9, 91]))"
101,"(array([6, 3]), array([71, 91]))"
102,"(array([ 21, 104]), array([18, 34]))"
102,"(array([44, 47]), array([ 19, 111]))"
102,"(array([28, 19]), array([ 56, 111]))"
102,"(array([ 37, 102]), array([ 8, 39]))"
102,"(array([108,  11]), array([ 4, 78]))"
104,"(array([99, 85]), array([38, 35]))"
104,"(array([ 42, 109]), array([43, 47]))"
104,"(array([56, 90]), array([114,  30]))"
104,"(array([ 16, 105]), array([43, 31]))"
104,"(array([28,  0]), array([80, 84]))"
106,"(array([49, 96]), array([14, 46]))"
106,"(array([76, 33]), array([108, 108]))"
106,"(array([ 2, 84]), array([25, 58]))"
106,"(array([109,  50]), array([ 20, 109]))"
106,"(array([24, 57]), array([ 12, 111]))"
106,"(array([86, 20]), array([108, 104]))"
106,"(array([63, 14]), array([ 95, 106]))"
107,"(array([ 9, 31]), array([115,  16]))"
107,"(array([65, 79]), array([112,  21]))"
107,"(array([103,  79]), array([58, 60]))"
107,"(array([117,   1]), array([21,  8]))"
107,"(array([70, 65]), array([114,  74]))"
107,"(array([20, 24]), array([104,  73]))"
107,"(array([14, 48]), array([115,  68]))"
107,"(array([97, 90]), array([11, 49]))"
107,"(array([68, 39]), array([88, 80]))"
107,"(array([67, 46]), array([113,  61]))"
107,"(array([118,  83]), array([ 0, 55]))"
107,"(array([60,  4]), array([107,  15]))"
107,"(array([96, 94]), array([36, 86]))"
108,"(array([42,  9]), array([ 56, 112]))"
109,"(array([14, 77]), array([85, 21]))"
109,"(array([43, 47]), array([ 1, 94]))"
109,"(array([98, 87]), array([36,  0]))"
109,"(array([74,  7]), array([113, 100]))"
109,"(array([58, 26]), array([ 60, 115]))"
109,"(array([57, 63]), array([  2, 109]))"
109,"(array([ 6, 81]), array([29, 54]))"
109,"(array([82, 24]), array([79, 65]))"
109,"(array([38,  3]), array([114,  90]))"
109,"(array([ 66, 103]), array([115, 112]))"
109,"(array([103,  92]), array([67,  7]))"
109,"(array([12, 67]), array([75, 88]))"
109,"(array([49, 53]), array([33,  3]))"
109,"(array([ 1, 91]), array([ 91, 100]))"
109,"(array([92, 95]), array([13, 79]))"
109,"(array([99, 84]), array([ 6, 17]))"
109,"(array([116,  99]), array([100,  18]))"
109,"(array([72, 73]), array([46,  5]))"
109,"(array([ 0, 17]), array([83, 80]))"
109,"(array([105,  74]), array([  0, 111]))"
109,"(array([56, 10]), array([65, 58]))"
109,"(array([ 3, 96]), array([84, 53]))"
109,"(array([51,  5]), array([67, 56]))"
109,"(array([ 67, 110]), array([95, 23]))"
109,"(array([ 4, 90]), array([92, 92]))"
109,"(array([ 51, 115]), array([108,  66]))"
109,"(array([ 5, 22]), array([104,  50]))"
11,"(array([ 80, 103]), array([30,  3]))"
11,"(array([90, 58]), array([31, 15]))"
110,"(array([17, 92]), array([15, 53]))"
110,"(array([109,  81]), array([ 7, 83]))"
111,"(array([ 6, 50]), array([ 77, 116]))"
112,"(array([89, 58]), array([45,  4]))"
113,"(array([54, 18]), array([12, 45]))"
113,"(array([ 7, 18]), array([105,  63]))"
113,"(array([27, 99]), array([79, 70]))"
113,"(array([76, 76]), array([ 47, 118]))"
113,"(array([51, 37]), array([ 82, 117]))"
113,"(array([ 11, 110]), array([97, 67]))"
113,"(array([102,  20]), array([19, 79]))"
113,"(array([52, 36]), array([ 82, 113]))"
113,"(array([102,  64]), array([22, 85]))"
113,"(array([56, 42]), array([26, 86]))"
113,"(array([33, 95]), array([116,   3]))"
113,"(array([111,   7]), array([ 78, 116]))"
113,"(array([13, 43]), array([ 34, 114]))"
113,"(array([56, 41]), array([ 95, 110]))"
113,"(array([111, 112]), array([79, 12]))"
113,"(array([ 84, 118]), array([76, 12]))"
113,"(array([14, 38]), array([106,  18]))"
113,"(array([ 89, 116]), array([55, 27]))"
113,"(array([89, 26]), array([42, 94]))"
113,"(array([75, 27]), array([32, 92]))"
113,"(array([98, 26]), array([ 5, 15]))"
113,"(array([58, 26]), array([ 52, 114]))"
113,"(array([ 86, 118]), array([ 3, 25]))"
113,"(array([ 96, 106]), array([87, 53]))"
113,"(array([ 85, 116]), array([17, 44]))"
113,"(array([33, 93]), array([50, 40]))"
113,"(array([108,  20]), array([118, 103]))"
113,"(array([1, 1]), array([ 1, 78]))"
113,"(array([13, 33]), array([87, 60]))"
113,"(array([67,  6]), array([118, 116]))"
113,"(array([ 26, 103]), array([ 4, 24]))"
113,"(array([100, 110]), array([60, 44]))"
114,"(array([ 87, 105]), array([ 2, 49]))"
115,"(array([5, 9]), array([ 41, 107]))"
116,"(array([61, 81]), array([61,  3]))"
117,"(array([89, 74]), array([ 4, 30]))"
118,"(array([88, 68]), array([ 0, 83]))"
118,"(array([50,  4]), array([27, 99]))"
118,"(array([72, 86]), array([ 39, 115]))"
118,"(array([ 47, 111]), array([52, 68]))"
118,"(array([74, 10]), array([ 16, 110]))"
118,"(array([ 35, 116]), array([96,  5]))"
118,"(array([ 80, 101]), array([ 1, 79]))"
118,"(array([81, 63]), array([29, 76]))"
118,"(array([ 7, 81]), array([66, 74]))"
118,"(array([34, 85]), array([85, 81]))"
118,"(array([ 10, 117]), array([76, 58]))"
118,"(array([ 19, 107]), array([ 3, 43]))"
118,"(array([83, 61]), array([35, 74]))"
118,"(array([80, 57]), array([  1, 104]))"
118,"(array([36, 93]), array([77, 87]))"
118,"(array([39, 17]), array([20, 71]))"
118,"(array([70, 51]), array([ 8, 65]))"
118,"(array([92, 80]), array([17, 80]))"
118,"(array([96, 96]), array([ 32, 118]))"
118,"(array([ 94, 103]), array([ 3, 84]))"
118,"(array([ 9, 95]), array([67,  3]))"
118,"(array([3, 6]), array([31, 83]))"
118,"(array([10, 77]), array([95, 73]))"
118,"(array([32, 14]), array([ 5, 74]))"
118,"(array([23, 70]), array([51,  6]))"
118,"(array([69, 71]), array([25, 27]))"
118,"(array([72, 63]), array([ 3, 59]))"
118,"(array([ 8, 57]), array([36, 12]))"
118,"(array([10, 10]), array([56, 60]))"
118,"(array([79, 64]), array([30, 89]))"
12,"(array([ 11, 113]), array([87, 38]))"
12,"(array([ 3, 90]), array([40,  8]))"
12,"(array([73, 54]), array([28, 92]))"
12,"(array([7, 9]), array([55,  5]))"
12,"(array([18, 83]), array([86, 61]))"
121,"(array([ 99, 112]), array([50, 58]))"
121,"(array([110,  41]), array([26,  1]))"
121,"(array([19, 32]), array([ 61, 115]))"
121,"(array([46, 52]), array([116,   6]))"
121,"(array([96, 19]), array([9, 7]))"
121,"(array([73,  3]), array([37, 28]))"
121,"(array([18, 15]), array([104,   5]))"
121,"(array([102,  52]), array([88,  7]))"
121,"(array([30, 13]), array([79, 22]))"
121,"(array([  9, 109]), array([83, 19]))"
121,"(array([23, 35]), array([110,   7]))"
121,"(array([16, 60]), array([100, 111]))"
121,"(array([69,  1]), array([102,  53]))"
121,"(array([ 8, 22]), array([7, 0]))"
121,"(array([9, 7]), array([84, 43]))"
121,"(array([91, 19]), array([79, 36]))"
121,"(array([72,  3]), array([17, 49]))"
121,"(array([64, 16]), array([15, 70]))"
121,"(array([  5, 106]), array([36, 53]))"
121,"(array([ 83, 110]), array([118,  16]))"
121,"(array([66, 38]), array([ 61, 115]))"
121,"(array([94, 47]), array([61,  6]))"
121,"(array([93, 55]), array([ 42, 114]))"
121,"(array([73,  2]), array([30,  4]))"
121,"(array([22,  1]), array([118,   8]))"
