image_number,number_of_paths
0,7
1,8
10,8
100,40
101,32
102,14
103,6
104,12
105,2
106,14
107,22
108,8
109,24
11,11
110,6
111,11
112,11
113,45
114,7
115,14
116,12
117,7
118,43
119,5
12,10
120,11
121,30
122,4
123,14
124,9
125,8
126,12
127,12
128,3
129,10
13,5
130,33
131,10
132,5
133,33
134,24
135,35
136,11
137,41
138,11
139,29
14,7
140,13
141,24
142,39
143,5
144,8
145,3
146,14
147,6
148,36
149,5
15,19
150,4
151,9
152,8
153,7
154,3
155,4
156,6
157,6
158,8
159,13
16,3
160,3
161,30
162,4
163,7
164,8
165,43
166,23
167,8
168,7
169,6
17,8
170,19
171,33
172,9
173,13
174,31
175,8
176,18
177,8
178,3
179,3
18,9
180,2
181,35
182,6
183,7
184,4
185,7
186,3
187,5
188,37
