image_number,number_of_paths
100,"(array([ 76, 108]), array([93,  7]))"
100,"(array([116,  48]), array([51, 48]))"
100,"(array([70, 46]), array([112,   0]))"
100,"(array([106,  86]), array([ 58, 115]))"
100,"(array([68, 56]), array([100,  43]))"
100,"(array([64, 81]), array([73, 24]))"
101,"(array([16, 14]), array([20, 36]))"
101,"(array([12, 92]), array([56,  4]))"
101,"(array([39, 60]), array([77, 58]))"
101,"(array([ 84, 102]), array([65,  9]))"
107,"(array([27, 30]), array([42, 10]))"
107,"(array([109,  16]), array([50, 32]))"
107,"(array([100, 103]), array([55, 15]))"
107,"(array([15, 31]), array([74,  2]))"
107,"(array([ 24, 100]), array([106,  90]))"
107,"(array([5, 1]), array([116,  14]))"
107,"(array([ 18, 107]), array([118,  84]))"
107,"(array([115,  90]), array([35, 85]))"
107,"(array([45, 82]), array([110,  24]))"
107,"(array([60, 51]), array([109,  96]))"
107,"(array([112,  86]), array([26, 95]))"
107,"(array([18, 92]), array([108,  86]))"
107,"(array([105,  57]), array([56, 21]))"
107,"(array([72, 35]), array([92, 92]))"
107,"(array([97, 84]), array([ 5, 28]))"
107,"(array([111, 109]), array([46, 35]))"
107,"(array([104,  76]), array([63, 14]))"
107,"(array([85,  3]), array([113,  20]))"
107,"(array([113,  91]), array([62, 81]))"
107,"(array([27, 98]), array([92, 88]))"
107,"(array([110, 111]), array([76, 45]))"
107,"(array([108, 100]), array([77,  2]))"
107,"(array([49, 46]), array([118,  48]))"
107,"(array([59, 67]), array([90, 98]))"
107,"(array([103,  80]), array([52, 48]))"
107,"(array([107,  73]), array([59, 44]))"
107,"(array([18, 94]), array([117,  83]))"
107,"(array([114,  43]), array([55, 66]))"
107,"(array([ 88, 100]), array([50, 53]))"
107,"(array([85, 90]), array([12, 37]))"
107,"(array([82, 16]), array([108,  85]))"
107,"(array([11, 95]), array([112,  15]))"
107,"(array([52, 65]), array([ 2, 86]))"
107,"(array([ 9, 46]), array([ 99, 104]))"
107,"(array([29, 45]), array([117,  23]))"
107,"(array([117,  58]), array([78, 34]))"
107,"(array([61,  8]), array([ 2, 15]))"
107,"(array([61, 17]), array([110,  73]))"
107,"(array([110,  51]), array([28, 27]))"
107,"(array([28, 71]), array([111,  13]))"
107,"(array([116,  71]), array([58, 26]))"
107,"(array([110,  76]), array([36, 74]))"
107,"(array([ 86, 102]), array([13, 91]))"
