image_number,number_of_paths
0,177
1,174
10,176
100,98
101,104
102,129
103,186
104,165
105,177
106,153
107,118
108,167
109,94
11,183
110,174
111,173
112,169
113,75
114,187
115,157
116,157
117,162
118,83
119,188
12,162
120,169
121,86
122,185
123,158
124,151
125,183
126,179
127,163
128,183
129,159
13,176
130,31
131,172
132,175
133,113
134,127
135,72
136,185
137,73
138,166
139,101
14,172
140,173
141,98
142,94
143,186
144,170
145,183
146,116
147,191
148,83
149,188
15,149
150,186
151,192
152,174
153,174
154,182
155,186
156,186
157,179
158,177
159,157
16,183
160,185
161,105
162,178
163,182
164,183
165,63
166,117
167,156
168,186
169,174
17,162
170,140
171,101
172,182
173,155
174,96
175,180
176,140
177,186
178,180
179,176
18,172
180,183
181,64
182,184
183,172
184,182
185,168
186,182
187,175
188,88
189,1
