image_number,number_of_paths
0,21
1,24
10,21
100,41
101,60
102,59
103,14
104,27
105,24
106,39
107,56
108,30
109,62
11,16
110,24
111,24
112,28
113,55
114,11
115,38
116,36
117,33
118,50
119,11
12,33
120,27
121,60
122,16
123,34
124,47
125,16
126,19
127,30
128,17
129,36
13,24
130,61
131,26
132,25
133,32
134,50
135,48
136,13
137,59
138,34
139,62
14,27
140,23
141,72
142,49
143,15
144,27
145,17
146,66
147,9
148,53
149,11
15,39
150,13
151,9
152,24
153,26
154,19
155,14
156,15
157,21
158,23
159,37
16,18
160,15
161,60
162,21
163,16
164,17
165,48
166,44
167,43
168,15
169,26
17,34
170,40
171,51
172,16
173,38
174,55
175,19
176,43
177,15
178,21
179,23
18,26
180,18
181,47
182,16
183,29
184,18
185,30
186,17
187,26
188,53
