File,Start X,Start Y,Goal X,Goal Y
map_0.npy,836,1083,404,385
map_0.npy,304,1117,849,967
map_0.npy,956,925,241,12
map_0.npy,749,109,271,1093
map_0.npy,923,802,85,1161
map_0.npy,797,246,738,255
map_0.npy,228,715,1191,888
map_0.npy,217,527,751,570
map_0.npy,747,1086,906,316
map_0.npy,607,1192,105,708
map_0.npy,74,738,1056,1002
map_0.npy,635,1174,242,1076
map_0.npy,1161,480,581,80
map_0.npy,370,375,332,895
map_0.npy,287,848,1185,487
map_0.npy,432,1074,613,41
map_0.npy,828,405,1138,953
map_0.npy,655,1193,901,1077
map_0.npy,814,832,23,445
map_0.npy,159,84,193,461
map_0.npy,102,678,198,1152
map_0.npy,808,1004,887,1127
map_0.npy,1050,1086,858,1011
map_0.npy,286,286,1019,528
map_0.npy,1037,1000,360,115
map_0.npy,329,1170,737,318
map_0.npy,201,663,755,930
map_0.npy,173,1183,1031,792
map_0.npy,451,239,1119,1044
map_0.npy,68,101,104,911
map_0.npy,57,710,221,347
map_0.npy,927,56,244,522
map_0.npy,207,1148,329,1136
map_0.npy,963,771,1158,934
map_0.npy,1054,20,1172,752
map_0.npy,58,1017,342,920
map_0.npy,554,313,402,843
map_0.npy,267,1040,622,165
map_0.npy,213,875,885,1105
map_0.npy,963,508,1115,92
map_0.npy,621,394,1125,502
map_0.npy,146,938,822,32
map_0.npy,278,430,1130,217
map_0.npy,1090,693,811,296
map_0.npy,600,203,905,90
map_0.npy,218,837,147,915
map_0.npy,452,1164,345,519
map_0.npy,473,1111,395,834
map_0.npy,820,967,336,204
map_0.npy,949,776,182,233
map_0.npy,439,252,1160,494
map_0.npy,126,388,1190,238
map_0.npy,1171,726,5,137
map_0.npy,127,72,293,597
map_0.npy,1048,962,254,617
map_0.npy,812,1185,719,229
map_0.npy,305,870,208,1098
map_0.npy,504,304,780,402
map_0.npy,699,126,1012,383
map_0.npy,866,444,1025,852
map_0.npy,690,1180,513,337
map_0.npy,809,1053,860,35
map_0.npy,841,835,959,441
map_0.npy,1036,742,988,936
map_0.npy,546,54,102,52
map_0.npy,870,1073,422,121
map_0.npy,1048,982,1023,988
map_0.npy,301,438,231,888
map_0.npy,260,494,1043,846
map_0.npy,577,283,393,22
map_0.npy,1011,496,260,383
map_0.npy,249,459,286,1015
map_0.npy,219,780,234,925
map_0.npy,651,406,257,298
map_0.npy,584,109,246,849
map_0.npy,780,1130,1001,903
map_0.npy,1049,31,749,1160
map_0.npy,693,495,972,694
map_0.npy,342,60,891,267
map_0.npy,938,1006,924,1068
map_0.npy,670,489,1156,395
map_0.npy,173,482,187,867
map_0.npy,872,727,707,1108
map_0.npy,659,13,905,421
map_0.npy,709,99,656,650
map_0.npy,643,175,250,751
map_0.npy,86,1043,72,153
map_0.npy,258,951,107,1105
map_0.npy,767,440,162,1166
map_0.npy,283,99,637,28
map_0.npy,786,226,1147,843
map_0.npy,510,300,921,625
map_0.npy,407,930,1012,560
map_0.npy,956,634,538,689
map_0.npy,498,89,1101,970
map_0.npy,443,1173,416,352
map_0.npy,1198,1149,894,1095
map_0.npy,745,358,334,1121
map_0.npy,723,120,684,532
map_0.npy,489,315,80,5
map_0.npy,873,871,13,920
map_0.npy,77,224,387,217
map_0.npy,58,778,831,1095
map_0.npy,615,335,370,1093
map_0.npy,836,296,993,800
map_0.npy,156,154,83,120
map_0.npy,865,1009,338,1119
map_0.npy,904,680,947,269
map_0.npy,279,1110,824,387
map_0.npy,949,219,1092,1059
map_0.npy,245,742,904,467
map_0.npy,140,1185,126,904
map_0.npy,250,510,923,649
map_0.npy,863,1046,996,450
map_0.npy,129,252,201,104
map_0.npy,271,143,569,1068
map_0.npy,357,358,2,907
map_0.npy,1104,971,454,1104
map_0.npy,374,1196,1045,302
map_0.npy,1095,697,893,457
map_0.npy,186,888,491,1197
map_0.npy,1175,528,29,833
map_0.npy,758,936,148,1011
map_0.npy,269,893,226,410
map_0.npy,327,552,177,65
map_0.npy,1181,28,670,474
map_0.npy,796,605,419,316
map_0.npy,114,202,954,127
map_0.npy,1042,290,886,723
map_0.npy,758,989,756,326
map_0.npy,370,880,17,316
map_0.npy,87,1033,68,370
map_0.npy,18,839,155,1058
map_0.npy,698,570,376,926
map_0.npy,990,811,808,701
map_0.npy,712,183,322,637
map_0.npy,120,1048,275,960
map_0.npy,922,1081,1007,818
map_0.npy,916,1115,856,372
map_0.npy,976,130,1046,115
map_0.npy,551,48,350,572
map_0.npy,1185,494,818,945
map_0.npy,43,79,1140,662
map_0.npy,73,704,1035,271
map_0.npy,1010,633,670,1073
map_0.npy,567,682,259,341
map_0.npy,267,68,70,897
map_0.npy,1146,447,680,267
map_0.npy,936,1008,202,669
map_0.npy,1180,758,729,865
map_0.npy,1146,173,933,1129
map_0.npy,1164,238,754,1168
map_0.npy,17,357,748,81
map_0.npy,932,882,1012,958
map_0.npy,1084,172,465,152
map_0.npy,1011,854,510,245
map_0.npy,83,142,372,115
map_0.npy,345,1010,1074,551
map_0.npy,392,138,26,11
map_0.npy,773,392,59,325
map_0.npy,1017,550,1135,285
map_0.npy,550,383,320,560
map_0.npy,867,1109,493,1157
map_0.npy,784,72,317,934
map_0.npy,459,222,31,753
map_0.npy,570,107,1081,897
map_0.npy,611,5,1081,620
map_0.npy,330,560,786,408
map_0.npy,628,400,104,696
map_0.npy,777,869,683,128
map_0.npy,219,434,185,815
map_0.npy,245,162,389,311
map_0.npy,848,24,118,71
map_0.npy,521,354,920,1027
map_0.npy,541,357,1034,733
map_0.npy,584,688,766,579
map_0.npy,840,214,869,420
map_0.npy,593,96,93,368
map_0.npy,30,749,11,341
map_0.npy,1014,551,1157,816
map_0.npy,802,510,263,417
map_0.npy,840,1045,381,169
map_0.npy,834,1026,362,914
map_0.npy,486,1106,851,291
map_0.npy,1178,986,1174,825
map_0.npy,883,322,1099,1027
map_0.npy,583,1084,1103,169
map_0.npy,719,470,255,680
map_0.npy,758,991,152,87
map_0.npy,972,501,454,1143
map_0.npy,513,90,242,1020
map_0.npy,1073,405,822,397
map_0.npy,410,863,371,684
map_0.npy,566,27,815,348
map_0.npy,772,88,865,211
map_0.npy,781,1016,964,46
map_0.npy,484,239,6,261
map_0.npy,414,132,720,1182
map_0.npy,1171,550,864,792
map_0.npy,643,666,1165,793
map_0.npy,531,1186,184,783
map_0.npy,979,1003,128,22
map_0.npy,814,664,527,324
map_0.npy,872,675,98,1134
map_0.npy,239,703,1003,411
map_0.npy,27,768,948,945
map_0.npy,910,1069,636,408
map_0.npy,595,278,182,867
map_0.npy,590,373,19,532
map_0.npy,910,92,446,1154
map_0.npy,966,648,1001,348
map_0.npy,295,123,970,936
map_0.npy,830,597,1049,401
map_0.npy,548,339,745,992
map_0.npy,778,627,97,195
map_0.npy,1101,18,906,90
map_0.npy,1075,911,879,672
map_0.npy,1100,883,152,162
map_0.npy,1199,1021,492,114
map_0.npy,1168,504,201,98
map_0.npy,585,1154,948,328
map_0.npy,58,409,929,561
map_0.npy,1188,510,755,1000
map_0.npy,259,49,978,33
map_0.npy,324,76,295,675
map_0.npy,393,241,931,600
map_0.npy,217,714,375,893
map_0.npy,775,538,1040,831
map_0.npy,291,522,920,535
map_0.npy,941,705,989,271
map_0.npy,956,1001,221,735
map_0.npy,252,481,1084,4
map_0.npy,352,157,375,210
map_0.npy,1104,1117,574,344
map_0.npy,549,1129,1015,337
map_0.npy,37,252,1130,74
map_0.npy,1187,898,1168,849
map_0.npy,1122,649,380,380
map_0.npy,269,724,222,489
map_0.npy,37,408,803,1091
map_0.npy,422,395,1108,475
map_0.npy,97,205,1078,644
map_0.npy,415,267,63,1086
map_0.npy,1033,1161,578,179
map_0.npy,1131,744,231,994
map_0.npy,178,1132,151,394
map_0.npy,1061,390,371,234
map_0.npy,1085,854,576,45
map_0.npy,712,279,342,1094
map_0.npy,1058,450,703,596
map_0.npy,164,942,291,1120
map_0.npy,88,392,351,44
map_0.npy,303,331,231,73
map_0.npy,312,357,1177,742
map_0.npy,37,1065,59,834
map_0.npy,231,484,254,256
map_0.npy,545,301,882,627
map_0.npy,59,1184,973,733
map_0.npy,159,585,377,1125
map_0.npy,443,251,271,566
map_0.npy,327,1010,444,1139
map_0.npy,617,130,8,295
map_0.npy,1078,275,484,286
map_0.npy,383,1046,257,989
map_0.npy,88,1095,716,237
map_0.npy,665,482,1116,465
map_0.npy,246,690,671,479
map_0.npy,92,346,891,448
map_0.npy,1011,714,777,1057
map_0.npy,404,1192,312,13
map_0.npy,887,206,357,591
map_0.npy,741,895,884,224
map_0.npy,215,483,1085,659
map_0.npy,1033,155,260,364
map_0.npy,1175,1005,222,538
map_0.npy,225,1151,837,1082
map_0.npy,92,792,1066,396
map_0.npy,782,349,177,45
map_0.npy,1027,29,348,924
map_0.npy,616,722,146,510
map_0.npy,832,482,203,153
map_0.npy,325,448,1139,242
map_0.npy,965,237,1021,939
map_0.npy,941,121,333,1117
map_0.npy,684,196,598,394
map_0.npy,9,963,796,552
map_0.npy,380,975,62,959
map_0.npy,757,1163,275,1008
map_0.npy,82,132,607,1162
map_0.npy,856,994,774,109
map_0.npy,698,511,939,46
map_0.npy,130,105,1099,110
map_0.npy,42,1117,603,23
map_0.npy,699,520,179,480
map_0.npy,378,1032,272,1027
map_0.npy,595,1064,590,1158
map_0.npy,861,6,567,1148
map_0.npy,251,704,883,434
map_0.npy,590,365,244,231
map_0.npy,1159,1121,920,390
map_0.npy,928,159,327,752
map_0.npy,928,599,342,195
map_0.npy,283,945,819,716
map_0.npy,566,172,785,1137
map_0.npy,901,670,1125,1186
map_0.npy,860,151,171,1055
map_0.npy,1129,428,329,199
map_0.npy,1185,983,706,972
map_0.npy,456,283,104,908
map_0.npy,36,257,348,164
map_0.npy,1016,345,688,92
map_0.npy,1015,876,993,1022
map_0.npy,1078,460,1184,190
map_0.npy,939,384,913,1134
map_0.npy,649,358,639,255
map_0.npy,206,1070,379,1111
map_0.npy,773,114,710,973
map_0.npy,1032,445,981,489
map_0.npy,923,1117,1019,596
map_0.npy,1124,280,147,1018
map_0.npy,406,399,51,403
map_0.npy,448,328,1053,865
map_0.npy,4,434,671,173
map_0.npy,1139,333,957,973
map_0.npy,955,200,948,800
map_0.npy,381,1171,917,372
map_0.npy,1075,1047,918,157
map_0.npy,360,680,949,65
map_0.npy,1032,138,163,141
map_0.npy,1134,287,882,412
map_0.npy,295,204,1061,766
map_0.npy,103,1057,189,773
map_0.npy,132,836,1095,615
map_0.npy,954,224,330,368
map_0.npy,1169,48,213,583
map_0.npy,407,964,102,149
map_0.npy,620,390,1074,240
map_0.npy,1133,199,119,936
map_0.npy,533,21,190,565
map_0.npy,975,1138,1156,393
map_0.npy,539,367,781,146
map_0.npy,752,265,629,282
map_0.npy,1033,48,1179,423
map_0.npy,862,989,619,166
map_0.npy,564,243,262,280
map_0.npy,347,1083,152,880
map_0.npy,178,519,101,137
map_0.npy,830,543,66,121
map_0.npy,544,156,214,74
map_0.npy,1097,648,342,965
map_0.npy,1188,39,1085,717
map_0.npy,512,1,518,1173
map_0.npy,995,1018,727,275
map_0.npy,258,946,137,737
map_0.npy,966,116,913,207
map_0.npy,855,489,912,895
map_0.npy,714,863,564,386
map_0.npy,322,1060,699,163
map_0.npy,612,356,993,414
map_0.npy,1153,138,225,727
map_0.npy,943,854,241,597
map_0.npy,168,495,733,16
map_0.npy,114,10,866,1153
map_0.npy,757,264,755,388
map_0.npy,738,117,688,212
map_0.npy,35,446,305,109
map_0.npy,1023,342,924,191
map_0.npy,977,598,633,357
map_0.npy,214,586,685,608
map_0.npy,877,932,464,92
map_0.npy,114,337,900,194
map_0.npy,979,62,1146,1111
map_0.npy,797,1151,136,1170
map_0.npy,433,1163,825,596
map_0.npy,1111,657,950,701
map_0.npy,1074,1085,844,81
map_0.npy,1098,661,179,16
map_0.npy,897,171,251,438
map_0.npy,316,1000,1170,809
map_0.npy,28,1134,678,608
map_0.npy,542,49,204,496
map_0.npy,113,970,1167,819
map_0.npy,789,1093,739,468
map_0.npy,894,800,1113,770
map_0.npy,755,369,669,25
map_0.npy,880,810,897,705
map_0.npy,290,978,40,1032
map_0.npy,597,343,778,397
map_0.npy,1178,992,930,960
map_0.npy,809,537,1044,1155
map_0.npy,62,1031,900,263
map_0.npy,59,913,291,140
map_0.npy,800,16,1034,485
map_0.npy,89,55,4,1102
map_0.npy,645,342,1019,806
map_0.npy,447,1174,226,1133
map_0.npy,112,704,372,224
map_0.npy,902,951,340,296
map_0.npy,621,671,244,433
map_0.npy,907,418,913,1126
map_0.npy,164,519,130,905
map_0.npy,149,861,112,994
map_0.npy,329,1059,45,220
map_0.npy,114,713,0,291
map_0.npy,151,909,29,469
map_0.npy,490,169,1107,822
map_0.npy,872,891,184,567
map_0.npy,1150,718,302,927
map_0.npy,217,1185,495,230
map_0.npy,1190,156,1111,67
map_0.npy,318,492,1137,1002
map_0.npy,686,317,170,261
map_0.npy,1029,154,1002,346
map_0.npy,303,949,72,399
map_0.npy,580,1122,715,419
map_0.npy,721,893,968,51
map_0.npy,268,371,550,1113
map_0.npy,91,900,1069,96
map_0.npy,985,1184,1196,1043
map_0.npy,851,1062,846,525
