startx,starty,goalx,goaly,imagenumber
101,83,80,109,0
103,75,90,99,0
28,12,84,95,0
73,86,73,81,0
65,111,44,1,0
40,115,56,95,0
32,111,72,8,0
12,57,35,108,0
81,63,27,114,0
104,18,57,46,0
46,97,113,20,0
93,21,39,108,0
102,1,114,27,0
37,52,35,32,0
27,7,109,91,0
77,109,89,106,0
103,15,68,3,0
54,68,106,8,0
56,82,111,85,0
107,73,46,103,0
103,86,112,5,0
97,16,59,96,0
102,17,87,27,0
39,101,32,101,0
41,117,104,81,0
5,86,54,58,0
59,25,65,98,0
22,96,74,38,0
102,3,83,73,0
95,23,29,4,0
81,13,11,114,0
88,88,28,112,0
8,108,76,75,0
28,15,82,91,0
68,27,25,113,0
3,81,82,92,0
99,6,74,72,0
41,51,57,43,0
68,68,52,6,0
13,69,68,35,0
56,33,23,28,0
2,106,47,6,0
37,31,58,10,0
13,0,103,0,0
46,25,73,4,0
92,75,25,96,0
67,22,78,72,0
67,22,60,75,0
85,25,50,114,0
79,14,48,25,0
107,81,55,15,0
25,41,42,96,0
59,38,61,92,0
116,82,71,43,0
73,98,100,75,0
63,24,2,84,0
18,118,82,12,0
78,15,43,36,0
88,16,45,6,0
30,22,107,25,0
113,3,30,2,0
42,10,46,7,0
46,31,43,107,0
58,93,51,42,0
108,0,59,113,0
34,104,66,14,0
97,13,25,102,0
1,0,34,1,0
27,90,33,94,0
48,112,62,21,0
72,104,117,2,0
73,74,105,4,0
44,98,42,108,0
57,59,4,112,0
30,40,84,95,0
117,27,83,17,0
62,75,72,9,0
107,34,54,19,0
50,48,62,32,0
102,11,83,104,0
79,77,27,93,0
67,37,53,12,0
65,13,39,25,0
29,1,62,14,0
34,47,18,48,0
77,72,60,73,0
38,109,77,49,0
48,45,61,103,0
26,29,90,24,0
48,49,111,91,0
0,83,81,86,0
30,96,57,32,0
36,27,1,114,0
67,73,62,113,0
27,115,72,113,0
62,105,68,0,0
68,100,52,15,0
24,42,52,86,0
7,86,66,4,0
43,28,29,101,0
72,107,106,27,0
103,75,62,36,0
77,16,93,99,0
57,26,100,3,0
83,18,100,22,0
8,71,54,20,0
58,68,90,76,0
90,16,64,77,0
113,21,35,5,0
72,93,92,90,0
24,26,39,102,0
55,4,53,72,0
2,1,107,77,0
78,46,107,14,0
44,98,68,25,0
20,114,70,30,0
5,69,73,17,0
37,110,97,86,0
73,70,117,80,0
15,109,77,72,0
115,18,72,109,0
14,88,2,82,0
63,74,42,27,0
60,111,37,14,0
21,41,65,6,0
55,6,52,116,0
48,109,80,81,0
20,115,86,19,0
91,72,116,8,0
83,72,60,54,0
55,107,102,19,0
98,84,83,11,0
61,90,3,62,0
105,18,62,68,0
56,89,45,108,0
100,20,70,31,0
60,111,72,114,0
103,83,24,104,0
20,52,113,80,0
